Ticker,Sales+,Expenses+,Operating Profit,OPM %,Other Income+,Interest,Depreciation,Profit before tax,Tax %,Net Profit+,EPS in Rs,Raw PDF,Revenue+,Financing Profit,Financing Margin %,Gross NPA %,Net NPA %
RELIANCE,"129,479","114,898","14,581",11%,"3,072","1,984","2,465","13,204",16%,"11,094",8.20,,,,,,
RELIANCE,"146,478","125,525","20,953",14%,"3,399","2,616","2,248","19,488",23%,"15,096",11.16,,,,,,
RELIANCE,"137,346","125,561","11,785",9%,"3,499","2,916","2,611","9,757",29%,"6,915",5.11,,,,,,
RELIANCE,"125,849","110,950","14,899",12%,"2,689","3,349","2,529","11,710",28%,"8,373",6.19,,,,,,
RELIANCE,"129,674","110,542","19,132",15%,"2,750","3,752","3,779","14,351",4%,"13,806",10.20,,,,,,
TCS,"42,459","30,747","11,712",28%,"1,981",123,944,"12,626",22%,"9,795",26.77,,,,,,
TCS,"44,480","32,651","11,829",27%,715,184,960,"11,400",25%,"8,588",23.47,,,,,,
TCS,"46,819","34,037","12,782",27%,"1,622",125,976,"13,303",24%,"10,059",27.49,,,,,,
TCS,"49,275","35,759","13,516",27%,"1,558",136,996,"13,942",24%,"10,659",29.13,,,,,,
TCS,"49,780","36,910","12,870",26%,"1,433",250,"1,008","13,045",25%,"9,800",26.78,,,,,,
HDFCBANK,,"13,465",,,"7,637","14,576",-0,"13,045",23%,"10,055",18.13,,"33,449","5,408",16%,1.17%,0.32%
HDFCBANK,,"13,690",,,"6,388","15,691",-0,"12,180",24%,"9,196",16.56,,"35,172","5,792",16%,1.28%,0.35%
HDFCBANK,,"14,465",,,"7,596","17,565",-0,"14,152",25%,"10,606",19.04,,"38,586","6,556",17%,1.23%,0.33%
HDFCBANK,,"15,270",,,"8,500","19,720",-0,"16,218",24%,"12,259",21.98,,"42,708","7,718",18%,1.23%,0.33%
HDFCBANK,,"16,147",,,"8,731","21,768",-0,"15,936",24%,"12,047",21.59,,"45,119","7,204",16%,1.12%,0.27%
INFY,"27,426","20,457","6,969",25%,590,31,620,"6,908",25%,"5,177",12.31,,,,,,
INFY,"29,527","22,596","6,931",23%,648,34,643,"6,902",29%,"4,901",11.65,,,,,,
INFY,"31,567","23,624","7,943",25%,"1,267",40,682,"8,488",26%,"6,253",14.86,,,,,,
INFY,"32,389","24,517","7,872",24%,"1,177",41,713,"8,295",25%,"6,210",14.80,,,,,,
INFY,"30,531","22,583","7,948",26%,766,43,714,"7,957",26%,"5,904",14.23,,,,,,
ICICIBANK,,"8,118",,,"4,737","10,070",0,"9,224",24%,"7,019",10.10,,"22,675","4,487",20%,3.60%,0.76%
ICICIBANK,,"8,710",,,"4,665","10,462",0,"9,165",25%,"6,905",9.93,,"23,672","4,500",19%,3.41%,0.70%
ICICIBANK,,"9,806",,,"5,055","11,246",0,"10,036",25%,"7,558",10.85,,"26,033","4,981",19%,3.19%,0.61%
ICICIBANK,,"10,475",,,"5,024","12,041",0,"11,014",25%,"8,312",11.91,,"28,506","5,990",21%,3.07%,0.55%
ICICIBANK,,"10,548",,,"5,088","13,354",0,"12,207",25%,"9,122",13.06,,"31,021","7,119",23%,2.81%,0.48%
HINDUNILVR,"13,462","10,217","3,245",24%,180,36,261,"3,128",26%,"2,327",9.90,,,,,,
HINDUNILVR,"14,272","11,025","3,247",23%,125,26,260,"3,086",26%,"2,289",9.74,,,,,,
HINDUNILVR,"14,751","11,374","3,377",23%,87,25,248,"3,191",18%,"2,616",11.13,,,,,,
HINDUNILVR,"15,228","11,691","3,537",23%,126,26,260,"3,377",26%,"2,505",10.66,,,,,,
HINDUNILVR,"14,893","11,422","3,471",23%,240,24,262,"3,425",25%,"2,552",10.86,,,,,,
ITC,"15,531","10,306","5,224",34%,674,10,446,"5,442",23%,"4,191",3.40,,,,,,
ITC,"17,290","11,642","5,648",33%,313,9,412,"5,540",25%,"4,169",3.38,,,,,,
ITC,"16,130","10,266","5,864",36%,507,11,422,"5,939",25%,"4,466",3.60,,,,,,
ITC,"16,226","10,003","6,223",38%,872,10,407,"6,678",25%,"5,031",4.05,,,,,,
ITC,"16,398","10,189","6,209",38%,819,12,422,"6,595",23%,"5,087",4.09,,,,,,
SBIN,,"30,599",,,"11,880","39,535",0,"12,479",27%,"9,114",10.21,,"70,733",599,1%,3.97%,1.02%
SBIN,,"25,148",,,"2,312","41,480",0,"8,360",27%,"6,068",6.80,,"72,676","6,048",8%,3.91%,1.00%
SBIN,,"25,976",,,"8,874","44,676",0,"18,081",27%,"13,265",14.86,,"79,860","9,207",12%,3.52%,0.80%
SBIN,,"30,078",,,"11,468","48,547",0,"19,459",27%,"14,205",15.92,,"86,616","7,991",9%,3.14%,0.77%
SBIN,,"33,049",,,"13,961","52,559",0,"21,305",22%,"16,695",18.71,,"92,951","7,344",8%,2.78%,0.67%
BHARTIARTL,"19,546","9,881","9,665",49%,"-2,490","3,318","6,305","-2,447",-6%,"-2,297",-3.90,,,,,,
BHARTIARTL,"20,228","10,026","10,201",50%,"1,659","3,941","6,481","1,439",24%,"1,095",1.86,,,,,,
BHARTIARTL,"21,058","10,165","10,892",52%,498,"3,954","6,508",929,26%,684,1.23,,,,,,
BHARTIARTL,"21,606","10,359","11,247",52%,"-3,937","3,529","6,661","-2,880",12%,"-3,222",-5.79,,,,,,
BHARTIARTL,"21,829","10,371","11,458",52%,138,"3,108","6,706","1,782",24%,"1,354",2.43,,,,,,
LT,"37,439","33,570","3,870",10%,703,441,308,"3,824",24%,"2,901",20.65,,,,,,
LT,"20,212","18,666","1,546",8%,568,504,342,"1,267",28%,911,6.48,,,,,,
LT,"25,770","23,862","1,908",7%,"1,554",579,338,"2,546",17%,"2,109",15.01,,,,,,
LT,"27,785","25,469","2,317",8%,833,508,335,"2,307",21%,"1,825",12.99,,,,,,
LT,"36,734","33,210","3,524",10%,"1,080",534,357,"3,713",19%,"3,003",21.37,,,,,,
KOTAKBANK,,"2,579",,,"1,704","2,545",0,"3,646",24%,"2,767",13.94,,"7,066","1,942",27%,2.34%,0.64%
KOTAKBANK,,"3,181",,,"1,244","2,641",0,"2,760",25%,"2,071",10.43,,"7,338","1,516",21%,2.24%,0.62%
KOTAKBANK,,"3,501",,,"1,832","2,993",0,"3,431",25%,"2,581",13.00,,"8,093","1,598",20%,2.08%,0.55%
KOTAKBANK,,"3,900",,,"1,948","3,346",0,"3,701",25%,"2,792",14.06,,"8,999","1,753",19%,1.90%,0.43%
KOTAKBANK,,"3,789",,,"2,186","3,718",0,"4,500",22%,"3,496",17.60,,"9,821","2,314",24%,1.78%,0.37%
ASIANPAINT,"6,760","5,397","1,363",20%,35,14,181,"1,203",25%,900,9.38,,,,,,
ASIANPAINT,"7,586","6,124","1,463",19%,114,20,184,"1,372",26%,"1,017",10.61,,,,,,
ASIANPAINT,"7,344","6,229","1,116",15%,117,24,189,"1,020",25%,763,7.96,,,,,,
ASIANPAINT,"7,522","6,027","1,495",20%,162,25,189,"1,443",25%,"1,086",11.32,,,,,,
ASIANPAINT,"7,626","5,878","1,748",23%,125,25,194,"1,654",25%,"1,234",12.86,,,,,,
HCLTECH,"10,634","6,808","3,826",36%,255,26,583,"3,472",14%,"3,003",11.07,,,,,,
HCLTECH,"10,817","7,050","3,767",35%,334,27,586,"3,488",23%,"2,678",9.87,,,,,,
HCLTECH,"11,424","7,471","3,953",35%,184,33,560,"3,544",23%,"2,741",10.10,,,,,,
HCLTECH,"12,398","7,842","4,556",37%,288,33,686,"4,125",23%,"3,196",11.78,,,,,,
HCLTECH,"11,637","7,670","3,967",34%,225,34,599,"3,559",20%,"2,844",10.48,,,,,,
AXISBANK,,"7,564",,,"4,223","8,957",0,"5,479",25%,"4,118",13.41,,"17,776","1,255",7%,2.82%,0.73%
AXISBANK,,"6,785",,,"2,928","9,345",0,"5,528",25%,"4,125",13.43,,"18,729","2,599",14%,2.76%,0.64%
AXISBANK,,"7,049",,,"3,855","9,879",0,"7,166",26%,"5,330",17.35,,"20,239","3,311",16%,2.50%,0.51%
AXISBANK,,"8,191",,,"4,572","10,767",0,"7,840",25%,"5,853",19.03,,"22,226","3,268",15%,2.38%,0.47%
AXISBANK,,"7,668",,,"-7,702","12,228",0,"-3,628",58%,"-5,728",-18.62,,"23,970","4,074",17%,2.02%,0.39%
MARUTI,"26,740","24,313","2,427",9%,474,56,647,"2,198",16%,"1,839",60.87,,,,,,
MARUTI,"26,500","24,588","1,912",7%,88,27,651,"1,322",23%,"1,013",33.53,,,,,,
MARUTI,"29,931","27,162","2,769",9%,612,30,723,"2,628",22%,"2,062",68.24,,,,,,
MARUTI,"29,044","26,211","2,833",10%,861,30,710,"2,954",20%,"2,351",77.84,,,,,,
MARUTI,"32,048","28,698","3,350",10%,743,99,739,"3,255",19%,"2,624",86.85,,,,,,
SUNPHARMA,"4,007","3,007","1,000",25%,"-1,355",91,354,-800,61%,"-1,286",-5.36,,,,,,
SUNPHARMA,"4,933","3,483","1,450",29%,49,87,374,"1,037",2%,"1,012",4.22,,,,,,
SUNPHARMA,"5,285","3,622","1,663",31%,42,93,384,"1,228",1%,"1,213",5.06,,,,,,
